id,name,mal_id,source,image,image_fallback,image_small,rarity,active
4727,Yuzuki Murashige,200851,,https://cdn.myanimelist.net/images/characters/6/509651.webp,https://cdn.myanimelist.net/images/characters/6/509651.jpg,https://cdn.myanimelist.net/images/characters/6/509651t.webp,0,1
4728, Raidou,150918,,https://cdn.myanimelist.net/images/characters/10/342208.webp,https://cdn.myanimelist.net/images/characters/10/342208.jpg,https://cdn.myanimelist.net/images/characters/10/342208t.webp,0,1
4729,Oliver Aiku,205283,,https://cdn.myanimelist.net/images/characters/15/570162.webp,https://cdn.myanimelist.net/images/characters/15/570162.jpg,https://cdn.myanimelist.net/images/characters/15/570162t.webp,0,1
4730,Tonio Trussardi,90609,,https://cdn.myanimelist.net/images/characters/2/240657.webp,https://cdn.myanimelist.net/images/characters/2/240657.jpg,https://cdn.myanimelist.net/images/characters/2/240657t.webp,0,1
4731,Tamotsu Fukuda,177518,,https://cdn.myanimelist.net/images/characters/6/399810.webp,https://cdn.myanimelist.net/images/characters/6/399810.jpg,https://cdn.myanimelist.net/images/characters/6/399810t.webp,0,1
4732,Motoharu Tsuchimikado,18926,,https://cdn.myanimelist.net/images/characters/3/66340.webp,https://cdn.myanimelist.net/images/characters/3/66340.jpg,https://cdn.myanimelist.net/images/characters/3/66340t.webp,0,1
4733,Wiene,174220,,https://cdn.myanimelist.net/images/characters/6/512538.webp,https://cdn.myanimelist.net/images/characters/6/512538.jpg,https://cdn.myanimelist.net/images/characters/6/512538t.webp,0,1
4734,Moroha Haimura,103301,,https://cdn.myanimelist.net/images/characters/8/270201.webp,https://cdn.myanimelist.net/images/characters/8/270201.jpg,https://cdn.myanimelist.net/images/characters/8/270201t.webp,0,1
4735,Dorothy,150945,,https://cdn.myanimelist.net/images/characters/10/329720.webp,https://cdn.myanimelist.net/images/characters/10/329720.jpg,https://cdn.myanimelist.net/images/characters/10/329720t.webp,0,1
4736,Shao May,23338,,https://cdn.myanimelist.net/images/characters/8/58046.webp,https://cdn.myanimelist.net/images/characters/8/58046.jpg,https://cdn.myanimelist.net/images/characters/8/58046t.webp,0,1
4737,Yariko,143669,,https://cdn.myanimelist.net/images/characters/13/310671.webp,https://cdn.myanimelist.net/images/characters/13/310671.jpg,https://cdn.myanimelist.net/images/characters/13/310671t.webp,0,1
4738,Aileen Lauren Dautriche,175990,,https://cdn.myanimelist.net/images/characters/12/486132.webp,https://cdn.myanimelist.net/images/characters/12/486132.jpg,https://cdn.myanimelist.net/images/characters/12/486132t.webp,0,1
4739,Chisato Arashi,182319,,https://cdn.myanimelist.net/images/characters/11/458092.webp,https://cdn.myanimelist.net/images/characters/11/458092.jpg,https://cdn.myanimelist.net/images/characters/11/458092t.webp,0,1
4740,Himea Saito,30287,,https://cdn.myanimelist.net/images/characters/10/121613.webp,https://cdn.myanimelist.net/images/characters/10/121613.jpg,https://cdn.myanimelist.net/images/characters/10/121613t.webp,0,1
